liu_qu_vlsi_supply_chain_survey,,,,,
vlsi_attack_vector_A,mechanism_M,source_context,outcome_O,,
Hardware Trojan insertion,remote_trojan_control,IP core / malicious circuit,integrity;availability,,
pundir_hls_security_vulnerabili,,,,,
HLS-induced information leakage,security_asset_leakage_to_observable_points,high_level_synthesis,confidentiality,,
HLS-induced control flow violation,break_intended_execution_flow,high_level_synthesis,integrity,,
HLS-induced fault injection susceptibility,fault_or_glitch_attack_enablement,high_level_synthesis,integrity;availability,,
HLS-induced side-channel leakage,power_or_time_side_channel_exposure,high_level_synthesis,confidentiality,,
Function-flattening vulnerability,critical_function_inlining_expands_sensitive_registers,high_level_synthesis,confidentiality,,
No-reset register vulnerability,sensitive_register_retention_after_reset,high_level_synthesis,confidentiality,,
No-preset register vulnerability,insecure_unknown_state_after_reset,high_level_synthesis,integrity;availability,,
Passthrough output vulnerability,intermediate_values_reflected_at_primary_output,high_level_synthesis,confidentiality,,
Lack of top-level control signals,data_latching_without_secure_start_control,high_level_synthesis,confidentiality;integrity,,
Insecure call-method vulnerability,pass_by_value_fault_or_pass_by_reference_external_tamper,high_level_synthesis,integrity;confidentiality,,
Non-secure scheduling,sensitive_operation_scheduled_before_security_condition,high_level_synthesis,confidentiality;integrity,,
Non-secure resource sharing,secure_and_nonsecure_operations_share_hardware_resources,high_level_synthesis,confidentiality;integrity;availability,,
Unbalanced pipeline vulnerability,secure_and_nonsecure_assets_reach_outputs_at_different_depths,high_level_synthesis,confidentiality,,
Insecure control logic extraction,fault_vulnerable_hls_generated_fsm,high_level_synthesis,integrity;availability,,
Power side-channel vulnerability,security_unaware_power_optimization,high_level_synthesis,confidentiality,,
Unbalanced pipeline vulnerability,reset_and_flush_key_leakage,high_level_synthesis,confidentiality,,
HLS-induced information leakage,round_key_reaches_output_before_state,high_level_synthesis,confidentiality,,
Combinational-output leakage,conditional_statement_translated_to_combinational_circuit,high_level_synthesis,confidentiality,,
Passthrough output vulnerability,computed_value_reflected_before_valid_signal,high_level_synthesis,confidentiality,,
Uncleared register vulnerability,intermediate_registers_not_cleared_on_reset,high_level_synthesis,confidentiality,,
Uncleared I/O register vulnerability,output_register_retains_previous_sensitive_value,high_level_synthesis,confidentiality,,
Passthrough output vulnerability,intermediate_comparison_results_reflected_at_output,high_level_synthesis,confidentiality,,
Latching intermediate values,intermediate_aes_round_state_latches_to_output,high_level_synthesis,confidentiality,,
Lack of top-level control signals,free_running_mode_input_latching,high_level_synthesis,confidentiality;integrity,,
Lack of top-level control signals,bypass_intermediate_round_operations,high_level_synthesis,confidentiality;bypass intermediate round operations,,
HLS-induced key leakage,last_round_key_recovery_from_leaked_intermediate_value,high_level_synthesis,confidentiality,,
Insecure call-method vulnerability,single_bit_fault_on_external_round_variable,high_level_synthesis,integrity;confidentiality,,
Insecure call-method vulnerability,final_round_bypass_and_ninth_round_state_leakage,high_level_synthesis,confidentiality,,
Power side-channel vulnerability,psc_unaware_hls_translation,high_level_synthesis,confidentiality,,
Power side-channel vulnerability,toggle_activity_based_key_leakage,high_level_synthesis,confidentiality,,
xiao_security_rule_checking_vls,,,,,
RTL hardware Trojan,dangerous_dont_care_propagation,rtl,confidentiality;integrity,Dangerous don’t-cares,Table 1 lists dangerous don't-cares as an RTL-level vulnerability for Hardware Trojan attacks.
RTL hardware Trojan,hard_to_control_and_observe_logic,rtl,integrity,Hard to control and observe,Table 1 maps hard-to-control/observe RTL logic to Hardware Trojan risk.
RTL asset leakage,asset_propagation_to_observable_nodes,rtl,confidentiality,Asset leakage,Table 1 maps RTL asset leakage to asset hacking.
Gate-level hardware Trojan,hard_to_control_and_observe_net,gate_level,integrity,Hard to control and observe net,Table 1 maps hard-to-control/observe nets to Hardware Trojan risk.
FSM fault-injection vulnerability,illegal_access_to_protected_state,gate_level,integrity;availability,Vulnerable finite state machine,Table 1 maps vulnerable FSMs to fault injection and Hardware Trojan attacks.
Gate-level asset leakage,asset_access_or_observation_at_gate_level,gate_level,confidentiality,Asset leakage,Table 1 maps gate-level asset leakage to asset hacking.
DFT asset leakage,test_structure_exposes_asset,dft_dfd,confidentiality,Design for test,Table 1 maps design-for-test structures to asset hacking.
DFD asset leakage,debug_structure_exposes_asset,dft_dfd,confidentiality,Design for debug,Table 1 maps design-for-debug structures to asset hacking.
Physical-layout side-channel leakage,side_channel_signal_exposure,physical_layout,confidentiality,Side-channel signal,Table 1 maps physical-layout side-channel signals to side-channel attacks.
Micro-probing attack,exposed_security_critical_nets,physical_layout,confidentiality,Micro-probing,Table 1 maps exposed security-critical nets to micro-probing attacks.
Physical-layout fault injection,injectable_fault_or_error,physical_layout,integrity;availability,Injectable fault or error,Table 1 maps injectable faults/errors to fault-injection attacks.
