path_id,A_sw,M_sw,A_vlsi,Stage,Outcome,asw_feasibility,msw_feasibility,avlsi_feasibility,stage_evidence,feasibility_level,asw_supporting_evidence_ids,msw_supporting_evidence_ids,avlsi_supporting_evidence_ids,feasibility_rationale
P343,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_6_static_timing_analysis,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P344,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_6_static_timing_analysis,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P345,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_7_physical_verification_and_signoff,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P346,build_or_toolchain_compromise,build_or_toolchain_execution_control,design_tampering_or_malicious_modification,stage_7_physical_verification_and_signoff,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P419,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_1_high_level_synthesis,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P420,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_1_high_level_synthesis,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P421,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_2_logic_synthesis,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P422,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_2_logic_synthesis,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P423,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_3_post_synthesis_verification,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P424,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_3_post_synthesis_verification,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P425,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_4_design_for_testability,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P426,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_4_design_for_testability,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P427,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_5_placement_and_routing,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P428,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_5_placement_and_routing,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P429,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_6_static_timing_analysis,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P430,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_6_static_timing_analysis,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P431,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_7_physical_verification_and_signoff,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P432,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_7_physical_verification_and_signoff,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P435,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_9_manufacturing_testing,integrity,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P436,build_or_toolchain_compromise,build_or_toolchain_execution_control,access_abuse_or_system_disruption,stage_9_manufacturing_testing,availability,High,High,Medium,observed_in_v1,High,E36; E48; E45; E46; E47,E36; E37; E48; E45; E46; E47,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P614,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_1_high_level_synthesis,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P615,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_1_high_level_synthesis,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P616,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_2_logic_synthesis,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P617,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_2_logic_synthesis,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P618,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_3_post_synthesis_verification,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P619,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_3_post_synthesis_verification,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P620,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_4_design_for_testability,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P621,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_4_design_for_testability,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P622,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_5_placement_and_routing,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P623,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_5_placement_and_routing,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P624,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_6_static_timing_analysis,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P625,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_6_static_timing_analysis,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P626,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_7_physical_verification_and_signoff,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P627,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,design_tampering_or_malicious_modification,stage_7_physical_verification_and_signoff,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E2; E10; E19,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P700,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_1_high_level_synthesis,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P701,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_1_high_level_synthesis,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P702,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_2_logic_synthesis,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P703,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_2_logic_synthesis,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P704,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_3_post_synthesis_verification,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P705,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_3_post_synthesis_verification,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P706,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_4_design_for_testability,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P707,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_4_design_for_testability,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P708,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_5_placement_and_routing,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P709,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_5_placement_and_routing,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P710,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_6_static_timing_analysis,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P711,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_6_static_timing_analysis,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P712,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_7_physical_verification_and_signoff,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P713,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_7_physical_verification_and_signoff,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P716,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_9_manufacturing_testing,integrity,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
P717,vulnerability_or_configuration_exploitation,vulnerability_or_configuration_based_control,access_abuse_or_system_disruption,stage_9_manufacturing_testing,availability,High,High,Medium,observed_in_v1,High,E2; E3; E22; E26; E34; E41; E43,E3; E22; E41,E10; E49; E50,"High because the A_sw category and M_sw capability both have High evidence support, the VLSI-side category has at least Medium support, and the stage is observed in the v1 evidence."
