path_id,A_sw,M_sw,A_vlsi,Stage,Outcome,asw_feasibility,msw_feasibility,avlsi_feasibility,stage_evidence,feasibility_level,asw_supporting_evidence_ids,msw_supporting_evidence_ids,avlsi_supporting_evidence_ids,feasibility_rationale
P11,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_5_placement_and_routing,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P12,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_5_placement_and_routing,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P13,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_6_static_timing_analysis,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P14,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_6_static_timing_analysis,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P15,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_7_physical_verification_and_signoff,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P16,package_introduction_or_misselection,consumed_software_behavior_control,design_tampering_or_malicious_modification,stage_7_physical_verification_and_signoff,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2; E10; E19,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P17,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_1_high_level_synthesis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P18,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_1_high_level_synthesis,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P19,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_1_high_level_synthesis,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P20,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_2_logic_synthesis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P21,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_2_logic_synthesis,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P22,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_2_logic_synthesis,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P23,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_3_post_synthesis_verification,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P24,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_3_post_synthesis_verification,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P25,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_3_post_synthesis_verification,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P26,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_4_design_for_testability,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P27,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_4_design_for_testability,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P28,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_4_design_for_testability,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P29,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_5_placement_and_routing,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P30,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_5_placement_and_routing,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P31,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_5_placement_and_routing,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P32,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_6_static_timing_analysis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P33,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_6_static_timing_analysis,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P34,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_6_static_timing_analysis,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P35,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_7_physical_verification_and_signoff,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P36,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_7_physical_verification_and_signoff,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P37,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_7_physical_verification_and_signoff,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P38,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_8_post_silicon_validation,confidentiality,Low,High,Low,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P39,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_8_post_silicon_validation,integrity,Low,High,Low,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P40,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_8_post_silicon_validation,availability,Low,High,Low,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P41,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_9_manufacturing_testing,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P42,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_9_manufacturing_testing,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P43,package_introduction_or_misselection,consumed_software_behavior_control,hardware_trojan_backdoor_or_logic_bomb,stage_9_manufacturing_testing,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E2,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P44,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_0_design_specification,confidentiality,Low,High,Low,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P45,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_1_high_level_synthesis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P46,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_2_logic_synthesis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P47,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_3_post_synthesis_verification,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P48,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_4_design_for_testability,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P49,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_5_placement_and_routing,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P50,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_6_static_timing_analysis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P51,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_7_physical_verification_and_signoff,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P52,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_8_post_silicon_validation,confidentiality,Low,High,Low,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P53,package_introduction_or_misselection,consumed_software_behavior_control,information_leakage_or_asset_exposure,stage_9_manufacturing_testing,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P54,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_1_high_level_synthesis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P55,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_1_high_level_synthesis,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P56,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_1_high_level_synthesis,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P57,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_2_logic_synthesis,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P58,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_2_logic_synthesis,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P59,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_2_logic_synthesis,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P60,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_3_post_synthesis_verification,confidentiality,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P61,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_3_post_synthesis_verification,integrity,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P62,package_introduction_or_misselection,consumed_software_behavior_control,hls_induced_security_vulnerability,stage_3_post_synthesis_verification,availability,Low,High,Low,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,none_in_v1,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P63,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_0_design_specification,integrity,Low,High,Medium,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P64,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_0_design_specification,availability,Low,High,Medium,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P65,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_1_high_level_synthesis,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P66,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_1_high_level_synthesis,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P67,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_2_logic_synthesis,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P68,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_2_logic_synthesis,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P69,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_3_post_synthesis_verification,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P70,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_3_post_synthesis_verification,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P71,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_4_design_for_testability,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P72,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_4_design_for_testability,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P73,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_5_placement_and_routing,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P74,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_5_placement_and_routing,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P75,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_6_static_timing_analysis,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P76,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_6_static_timing_analysis,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P77,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_7_physical_verification_and_signoff,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P78,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_7_physical_verification_and_signoff,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P79,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_8_post_silicon_validation,integrity,Low,High,Medium,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P80,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_8_post_silicon_validation,availability,Low,High,Medium,not_observed_in_v1,Low,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
P81,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_9_manufacturing_testing,integrity,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P82,package_introduction_or_misselection,consumed_software_behavior_control,access_abuse_or_system_disruption,stage_9_manufacturing_testing,availability,Low,High,Medium,observed_in_v1,Medium,none_in_v1,E2; E8; E9; E10; E16; E19; E27; E35; E28; E38; E44; E39,E10; E49; E50,"Medium because the path has partial or indirect evidence support, but it does not satisfy all High criteria."
P83,source_repository_or_code_tampering,source_or_repository_modification,design_tampering_or_malicious_modification,stage_0_design_specification,integrity,Low,Low,Medium,not_observed_in_v1,Low,none_in_v1,none_in_v1,E2; E10; E19,Low because the path is model-possible but weakly supported by the current v1 feasibility evidence.
