M_sw,M_vlsi,bridge_reason,decision
attacker_controlled_build_artifact,additional_functionality_in_implementation,Compromised build artifact can add unintended functionality to the implementation,keep
attacker_controlled_build_artifact,extra_behavior_beyond_specification,Compromised build artifact can contain behavior beyond the intended specification,keep
attacker_controlled_build_artifact,redundant_logic_payload,Compromised build artifact can carry redundant or hidden logic payloads,keep
attacker_controlled_build_artifact,hard_to_excite_trigger_signal,Compromised build artifact can include rare or hard-to-excite trigger signals,review
attacker_controlled_build_artifact,untestable_or_suspicious_logic,Compromised build artifact can include logic that is difficult to test or observe,keep
attacker_controlled_build_artifact,malicious_design_alteration_before_fabrication,Compromised build artifact can carry malicious design alterations before fabrication,keep
attacker_controlled_build_artifact,original_circuitry_modification,Compromised build artifact can modify the original circuit description or generated circuit,keep
attacker_controlled_build_artifact,add_remove_or_bypass_logic,Compromised build artifact can add remove or bypass logic in the design,keep
attacker_controlled_build_artifact,presynthesis_structural_manipulation,Compromised build artifact can carry manipulated design structure before synthesis,keep
attacker_controlled_build_artifact,fsm_state_manipulation,Compromised build artifact can carry altered FSM behavior into generated design logic,keep
attacker_controlled_build_artifact,embedded_trojan_states,Compromised build artifact can include hidden Trojan states in FSM logic,keep
attacker_controlled_build_artifact,hidden_fsm_driver,Compromised build artifact can include hidden driver behavior inside FSM logic,keep
attacker_controlled_build_artifact,unremovable_trojan_in_functionality,Compromised build artifact can merge Trojan behavior with intended functionality,keep
attacker_controlled_build_artifact,rtl_design_attack,Compromised build artifact can carry modified RTL or design logic,keep
attacker_controlled_build_artifact,functional_test_evasion,Compromised build artifact can preserve malicious behavior while still passing functional tests,review
attacker_controlled_build_artifact,security_asset_leakage_to_observable_points,Compromised build artifact can expose security assets at observable points,keep
attacker_controlled_build_artifact,break_intended_execution_flow,Compromised build artifact can alter generated control or execution behavior,keep
attacker_controlled_build_artifact,malicious_firmware_modification,Compromised build artifact can deliver modified firmware or bitstream-like content,review
attacker_controlled_source_code,ic_functionality_or_feature_modification,Attacker-controlled source code can modify the intended IC functionality or design features,keep
attacker_controlled_source_code,malicious_hardware_component_insertion,Attacker-controlled source code can introduce malicious hardware logic or components into the design,keep
attacker_controlled_source_code,trojan_based_information_leakage,Attacker-controlled source code can add logic that leaks sensitive information,keep
attacker_controlled_source_code,extra_functionality_in_hardware,Attacker-controlled source code can add extra hardware functionality beyond the intended design,keep
attacker_controlled_source_code,additional_functionality_in_implementation,Attacker-controlled source code can introduce additional functionality in the implementation,keep
attacker_controlled_source_code,extra_task_without_functional_tamper,Attacker-controlled source code can add extra malicious tasks while preserving normal functionality,keep
attacker_controlled_source_code,rare_event_trigger,Attacker-controlled source code can introduce rare-event trigger conditions,keep
attacker_controlled_source_code,unprotected_confidential_data_path,Attacker-controlled source code can create or leave an unprotected path from confidential data,keep
attacker_controlled_source_code,extra_behavior_beyond_specification,Attacker-controlled source code can create behavior beyond the design specification,keep
attacker_controlled_source_code,redundant_logic_payload,Attacker-controlled source code can insert redundant or hidden payload logic,keep
attacker_controlled_source_code,hard_to_excite_trigger_signal,Attacker-controlled source code can introduce hard-to-excite trigger signals,keep
attacker_controlled_source_code,untestable_or_suspicious_logic,Attacker-controlled source code can introduce suspicious or difficult-to-test logic,keep
attacker_controlled_source_code,malicious_design_alteration_before_fabrication,Attacker-controlled source code can alter the design before fabrication,keep
attacker_controlled_source_code,original_circuitry_modification,Attacker-controlled source code can modify the original circuit description,keep
attacker_controlled_source_code,add_remove_or_bypass_logic,Attacker-controlled source code can add remove or bypass logic in the design,keep
attacker_controlled_source_code,internal_logic_or_state_trigger,Attacker-controlled source code can introduce internal logic or state-based trigger behavior,keep
attacker_controlled_source_code,internal_logic_state_or_input_pattern_trigger,Attacker-controlled source code can introduce trigger logic based on internal state or input patterns,keep
attacker_controlled_source_code,key_information_transmission,Attacker-controlled source code can add logic that transmits key or sensitive information,keep
attacker_controlled_source_code,presynthesis_structural_manipulation,Attacker-controlled source code can manipulate design structure before synthesis,keep
attacker_controlled_source_code,fsm_state_manipulation,Attacker-controlled source code can alter FSM behavior in the design description,keep
attacker_controlled_source_code,embedded_trojan_states,Attacker-controlled source code can introduce hidden Trojan states into an FSM,keep
attacker_controlled_source_code,hidden_fsm_driver,Attacker-controlled source code can hide driver behavior inside FSM logic,keep
attacker_controlled_source_code,unremovable_trojan_in_functionality,Attacker-controlled source code can merge Trojan behavior with intended functionality,keep
attacker_controlled_source_code,rtl_design_attack,Attacker-controlled source code can directly modify RTL or design logic,keep
attacker_controlled_source_code,functional_test_evasion,Attacker-controlled source code can implement malicious behavior that still passes functional tests,keep
attacker_controlled_source_code,security_asset_leakage_to_observable_points,Attacker-controlled source code can cause security assets to propagate to observable points,keep
attacker_controlled_source_code,break_intended_execution_flow,Attacker-controlled source code can break or alter intended execution/control flow,keep
attacker_controlled_source_code,power_or_time_side_channel_exposure,Attacker-controlled source code can introduce structures that leak through power or timing behavior,review
attacker_controlled_source_code,sensitive_register_retention_after_reset,Attacker-controlled source code can omit or weaken reset behavior for sensitive registers,keep
attacker_controlled_source_code,insecure_unknown_state_after_reset,Attacker-controlled source code can leave registers or logic in insecure unknown states after reset,keep
attacker_controlled_source_code,intermediate_values_reflected_at_primary_output,Attacker-controlled source code can expose intermediate values at primary outputs,keep
attacker_controlled_source_code,data_latching_without_secure_start_control,Attacker-controlled source code can create unsafe latching behavior without secure start control,keep
attacker_controlled_source_code,sensitive_operation_scheduled_before_security_condition,Attacker-controlled source code can place sensitive operations before required security conditions,keep
attacker_controlled_source_code,intermediate_registers_not_cleared_on_reset,Attacker-controlled source code can leave intermediate registers uncleared after reset,keep
attacker_controlled_source_code,output_register_retains_previous_sensitive_value,Attacker-controlled source code can cause output registers to retain previous sensitive values,keep
attacker_controlled_source_code,intermediate_comparison_results_reflected_at_output,Attacker-controlled source code can expose intermediate comparison results at outputs,keep
attacker_controlled_source_code,free_running_mode_input_latching,Attacker-controlled source code can cause unsafe input latching in free-running mode,keep
attacker_controlled_source_code,bypass_intermediate_round_operations,Attacker-controlled source code can bypass intermediate operations in a security-critical computation,keep
attacker_controlled_source_code,dangerous_dont_care_propagation,Attacker-controlled source code can introduce or preserve dangerous don't-care behavior,keep
attacker_controlled_source_code,asset_propagation_to_observable_nodes,Attacker-controlled source code can cause security assets to propagate to observable RTL nodes,keep
attacker_controlled_released_artifact,illegal_access_or_use_of_design_ip,Attacker-controlled released artifact can access design or IP files when consumed in the VLSI flow,keep
attacker_controlled_released_artifact,design_ip_extraction,Attacker-controlled released artifact can read or extract design IP during downstream use,keep
attacker_controlled_released_artifact,unauthorized_design_copying,Attacker-controlled released artifact can copy design artifacts available during execution or integration,keep
attacker_controlled_released_artifact,ic_functionality_or_feature_modification,Attacker-controlled released artifact can carry modified IC functionality or design features,keep
attacker_controlled_released_artifact,malicious_hardware_component_insertion,Attacker-controlled released artifact can include malicious hardware logic or components,keep
attacker_controlled_released_artifact,extra_functionality_in_hardware,Attacker-controlled released artifact can introduce extra hardware functionality beyond the intended design,keep
attacker_controlled_released_artifact,additional_functionality_in_implementation,Attacker-controlled released artifact can add unintended functionality to the implementation,keep
attacker_controlled_released_artifact,extra_behavior_beyond_specification,Attacker-controlled released artifact can produce behavior beyond the intended specification,keep
attacker_controlled_released_artifact,unprotected_confidential_data_path,Attacker-controlled released artifact can weaken or alter protection around confidential data paths,keep
attacker_controlled_released_artifact,redundant_logic_payload,Attacker-controlled released artifact can carry redundant or hidden payload logic,keep
attacker_controlled_released_artifact,hard_to_excite_trigger_signal,Attacker-controlled released artifact can include rare or hard-to-excite trigger signals,review
attacker_controlled_released_artifact,untestable_or_suspicious_logic,Attacker-controlled released artifact can include suspicious or difficult-to-test logic,keep
attacker_controlled_released_artifact,malicious_design_alteration_before_fabrication,Attacker-controlled released artifact can carry malicious design alterations before fabrication,keep
attacker_controlled_released_artifact,original_circuitry_modification,Attacker-controlled released artifact can modify the original circuit description or generated circuit,keep
attacker_controlled_released_artifact,add_remove_or_bypass_logic,Attacker-controlled released artifact can add remove or bypass logic in the design,keep
attacker_controlled_released_artifact,presynthesis_structural_manipulation,Attacker-controlled released artifact can carry structural manipulation before synthesis,keep
attacker_controlled_released_artifact,fsm_state_manipulation,Attacker-controlled released artifact can carry altered FSM behavior into the design flow,keep
attacker_controlled_released_artifact,embedded_trojan_states,Attacker-controlled released artifact can include hidden Trojan states in FSM logic,keep
attacker_controlled_released_artifact,hidden_fsm_driver,Attacker-controlled released artifact can include hidden driver behavior inside FSM logic,keep
attacker_controlled_released_artifact,unremovable_trojan_in_functionality,Attacker-controlled released artifact can merge Trojan behavior with intended design functionality,keep
attacker_controlled_released_artifact,rtl_design_attack,Attacker-controlled released artifact can carry modified RTL or design logic,keep
attacker_controlled_released_artifact,functional_test_evasion,Attacker-controlled released artifact can preserve malicious behavior while still passing functional tests,review
attacker_controlled_released_artifact,malicious_firmware_modification,Attacker-controlled released artifact can deliver modified firmware or bitstream-like content,keep
attacker_controlled_released_artifact,trojan_delayed_disable_or_destroy,Attacker-controlled released artifact can carry Trojan behavior that disables or destroys functionality later,review
attacker_controlled_released_artifact,trojan_covert_information_leakage,Attacker-controlled released artifact can carry Trojan behavior that leaks confidential information,keep
attacker_controlled_released_artifact,security_asset_leakage_to_observable_points,Attacker-controlled released artifact can expose security assets at observable points,keep
attacker_controlled_released_artifact,break_intended_execution_flow,Attacker-controlled released artifact can alter generated control or execution behavior,keep
attacker_controlled_released_artifact,power_or_time_side_channel_exposure,Attacker-controlled released artifact can introduce structures that expose power or timing side channels,review
attacker_controlled_hidden_source_change,ic_functionality_or_feature_modification,Hidden source changes can modify intended IC functionality or design features,keep
attacker_controlled_hidden_source_change,malicious_hardware_component_insertion,Hidden source changes can introduce malicious hardware logic or components into the design,keep
attacker_controlled_hidden_source_change,trojan_based_information_leakage,Hidden source changes can add logic that leaks sensitive information,keep
attacker_controlled_hidden_source_change,extra_functionality_in_hardware,Hidden source changes can add extra hardware functionality beyond the intended design,keep
attacker_controlled_hidden_source_change,additional_functionality_in_implementation,Hidden source changes can introduce additional functionality in the implementation,keep
attacker_controlled_hidden_source_change,extra_task_without_functional_tamper,Hidden source changes can add malicious tasks while preserving normal functionality,keep
attacker_controlled_hidden_source_change,rare_event_trigger,Hidden source changes can introduce rare-event trigger conditions,keep
attacker_controlled_hidden_source_change,power_or_aging_trigger,Hidden source changes can introduce trigger behavior based on power or aging conditions,review
attacker_controlled_hidden_source_change,unprotected_confidential_data_path,Hidden source changes can create or leave an unprotected path from confidential data,keep
attacker_controlled_hidden_source_change,extra_behavior_beyond_specification,Hidden source changes can create behavior beyond the intended design specification,keep
attacker_controlled_hidden_source_change,redundant_logic_payload,Hidden source changes can insert redundant or hidden payload logic,keep
attacker_controlled_hidden_source_change,hard_to_excite_trigger_signal,Hidden source changes can introduce hard-to-excite trigger signals,keep
attacker_controlled_hidden_source_change,untestable_or_suspicious_logic,Hidden source changes can introduce suspicious or difficult-to-test logic,keep
attacker_controlled_hidden_source_change,malicious_design_alteration_before_fabrication,Hidden source changes can alter design artifacts before fabrication,keep
attacker_controlled_hidden_source_change,original_circuitry_modification,Hidden source changes can modify the original circuit description,keep
attacker_controlled_hidden_source_change,add_remove_or_bypass_logic,Hidden source changes can add remove or bypass logic in the design,keep
attacker_controlled_hidden_source_change,internal_logic_or_state_trigger,Hidden source changes can introduce internal logic or state-based trigger behavior,keep
attacker_controlled_hidden_source_change,internal_logic_state_or_input_pattern_trigger,Hidden source changes can introduce trigger logic based on internal state or input patterns,keep
attacker_controlled_hidden_source_change,key_information_transmission,Hidden source changes can add logic that transmits key or sensitive information,keep
attacker_controlled_hidden_source_change,presynthesis_structural_manipulation,Hidden source changes can manipulate design structure before synthesis,keep
attacker_controlled_hidden_source_change,fsm_state_manipulation,Hidden source changes can alter FSM behavior in the design description,keep
attacker_controlled_hidden_source_change,embedded_trojan_states,Hidden source changes can introduce hidden Trojan states into an FSM,keep
attacker_controlled_hidden_source_change,hidden_fsm_driver,Hidden source changes can hide driver behavior inside FSM logic,keep
attacker_controlled_hidden_source_change,unremovable_trojan_in_functionality,Hidden source changes can merge Trojan behavior with intended functionality,keep
attacker_controlled_hidden_source_change,rtl_design_attack,Hidden source changes can directly modify RTL or design logic,keep
attacker_controlled_hidden_source_change,functional_test_evasion,Hidden source changes can implement malicious behavior that still passes functional tests,keep
attacker_controlled_hidden_source_change,security_asset_leakage_to_observable_points,Hidden source changes can cause security assets to propagate to observable points,keep
attacker_controlled_hidden_source_change,break_intended_execution_flow,Hidden source changes can break or alter intended execution or control flow,keep
attacker_controlled_hidden_source_change,power_or_time_side_channel_exposure,Hidden source changes can introduce structures that leak through power or timing behavior,review
attacker_controlled_hidden_source_change,dangerous_dont_care_propagation,Hidden source changes can introduce or preserve dangerous don't-care behavior,keep
attacker_controlled_hidden_source_change,asset_propagation_to_observable_nodes,Hidden source changes can cause security assets to propagate to observable RTL nodes,keep
compromised_legitimate_account_control,illegal_access_or_use_of_design_ip,Compromised legitimate account can access design or IP files using trusted account permissions,keep
compromised_legitimate_account_control,design_ip_extraction,Compromised legitimate account can read or extract design IP available to that account,keep
compromised_legitimate_account_control,unauthorized_design_copying,Compromised legitimate account can copy design artifacts from repositories or project workspaces,keep
compromised_legitimate_account_control,unauthorized_ip_use,Compromised legitimate account can misuse IP artifacts available through legitimate access,keep
compromised_legitimate_account_control,ic_functionality_or_feature_modification,Compromised legitimate account can modify design files to change IC functionality or features,keep
compromised_legitimate_account_control,malicious_hardware_component_insertion,Compromised legitimate account can introduce malicious hardware logic into design artifacts,keep
compromised_legitimate_account_control,trojan_based_information_leakage,Compromised legitimate account can add or commit logic that leaks sensitive information,keep
compromised_legitimate_account_control,additional_functionality_in_implementation,Compromised legitimate account can introduce additional functionality into the implementation,keep
compromised_legitimate_account_control,extra_task_without_functional_tamper,Compromised legitimate account can add malicious tasks while preserving normal functionality,keep
compromised_legitimate_account_control,rare_event_trigger,Compromised legitimate account can introduce rare-event trigger logic into the design,keep
compromised_legitimate_account_control,unprotected_confidential_data_path,Compromised legitimate account can modify design logic to leave confidential data paths unprotected,keep
compromised_legitimate_account_control,extra_behavior_beyond_specification,Compromised legitimate account can introduce behavior beyond the intended design specification,keep
compromised_legitimate_account_control,redundant_logic_payload,Compromised legitimate account can add redundant or hidden payload logic,keep
compromised_legitimate_account_control,hard_to_excite_trigger_signal,Compromised legitimate account can introduce hard-to-excite trigger signals,keep
compromised_legitimate_account_control,untestable_or_suspicious_logic,Compromised legitimate account can introduce suspicious or difficult-to-test logic,keep
compromised_legitimate_account_control,malicious_design_alteration_before_fabrication,Compromised legitimate account can alter design artifacts before fabrication,keep
compromised_legitimate_account_control,original_circuitry_modification,Compromised legitimate account can modify the original circuit description,keep
compromised_legitimate_account_control,add_remove_or_bypass_logic,Compromised legitimate account can add remove or bypass logic in the design,keep
compromised_legitimate_account_control,internal_logic_or_state_trigger,Compromised legitimate account can introduce internal logic or state-based trigger behavior,keep
compromised_legitimate_account_control,internal_logic_state_or_input_pattern_trigger,Compromised legitimate account can introduce trigger logic based on internal state or input patterns,keep
compromised_legitimate_account_control,key_information_transmission,Compromised legitimate account can add logic that transmits key or sensitive information,keep
compromised_legitimate_account_control,presynthesis_structural_manipulation,Compromised legitimate account can manipulate design structure before synthesis,keep
compromised_legitimate_account_control,fsm_state_manipulation,Compromised legitimate account can alter FSM behavior in the design description,keep
compromised_legitimate_account_control,embedded_trojan_states,Compromised legitimate account can introduce hidden Trojan states into an FSM,keep
compromised_legitimate_account_control,hidden_fsm_driver,Compromised legitimate account can hide driver behavior inside FSM logic,keep
compromised_legitimate_account_control,unremovable_trojan_in_functionality,Compromised legitimate account can merge Trojan behavior with intended functionality,keep
compromised_legitimate_account_control,rtl_design_attack,Compromised legitimate account can directly modify RTL or design logic,keep
compromised_legitimate_account_control,functional_test_evasion,Compromised legitimate account can introduce malicious logic that still passes functional tests,review
compromised_legitimate_account_control,security_asset_leakage_to_observable_points,Compromised legitimate account can modify design logic so security assets propagate to observable points,keep
compromised_legitimate_account_control,break_intended_execution_flow,Compromised legitimate account can alter intended execution or control flow,keep
compromised_legitimate_account_control,dangerous_dont_care_propagation,Compromised legitimate account can introduce or preserve dangerous don't-care behavior,keep
compromised_legitimate_account_control,asset_propagation_to_observable_nodes,Compromised legitimate account can cause security assets to propagate to observable RTL nodes,keep
compromised_maintainer_system_control,illegal_access_or_use_of_design_ip,Compromised maintainer system can access design or IP files available on the maintainer machine,keep
compromised_maintainer_system_control,design_ip_extraction,Compromised maintainer system can read or extract design IP from local repositories or workspaces,keep
compromised_maintainer_system_control,unauthorized_design_copying,Compromised maintainer system can copy design artifacts available to the maintainer,keep
compromised_maintainer_system_control,ic_functionality_or_feature_modification,Compromised maintainer system can modify design files or generated artifacts to change IC functionality,keep
compromised_maintainer_system_control,malicious_hardware_component_insertion,Compromised maintainer system can introduce malicious hardware logic into source or generated design artifacts,keep
compromised_maintainer_system_control,additional_functionality_in_implementation,Compromised maintainer system can add unintended functionality through source or build outputs,keep
compromised_maintainer_system_control,extra_behavior_beyond_specification,Compromised maintainer system can introduce behavior beyond the intended design specification,keep
compromised_maintainer_system_control,unprotected_confidential_data_path,Compromised maintainer system can modify design artifacts to leave confidential data paths unprotected,keep
compromised_maintainer_system_control,redundant_logic_payload,Compromised maintainer system can insert redundant or hidden payload logic,keep
compromised_maintainer_system_control,hard_to_excite_trigger_signal,Compromised maintainer system can introduce hard-to-excite trigger signals through source or generated artifacts,keep
compromised_maintainer_system_control,untestable_or_suspicious_logic,Compromised maintainer system can introduce suspicious or difficult-to-test logic,keep
compromised_maintainer_system_control,malicious_design_alteration_before_fabrication,Compromised maintainer system can alter design artifacts before fabrication,keep
compromised_maintainer_system_control,original_circuitry_modification,Compromised maintainer system can modify the original circuit description or generated circuit,keep
compromised_maintainer_system_control,add_remove_or_bypass_logic,Compromised maintainer system can add remove or bypass logic in the design,keep
compromised_maintainer_system_control,presynthesis_structural_manipulation,Compromised maintainer system can manipulate design structure before synthesis,keep
compromised_maintainer_system_control,fsm_state_manipulation,Compromised maintainer system can alter FSM behavior in source or generated design logic,keep
compromised_maintainer_system_control,embedded_trojan_states,Compromised maintainer system can introduce hidden Trojan states into FSM logic,keep
compromised_maintainer_system_control,hidden_fsm_driver,Compromised maintainer system can hide driver behavior inside FSM logic,keep
compromised_maintainer_system_control,unremovable_trojan_in_functionality,Compromised maintainer system can merge Trojan behavior with intended functionality,keep
compromised_maintainer_system_control,rtl_design_attack,Compromised maintainer system can modify RTL or design logic,keep
compromised_maintainer_system_control,functional_test_evasion,Compromised maintainer system can introduce malicious behavior that still passes functional tests,review
compromised_maintainer_system_control,security_asset_leakage_to_observable_points,Compromised maintainer system can modify design artifacts so security assets become observable,keep
compromised_maintainer_system_control,break_intended_execution_flow,Compromised maintainer system can alter intended execution or control flow,keep
compromised_maintainer_system_control,power_or_time_side_channel_exposure,Compromised maintainer system can introduce structures that leak through power or timing behavior,review
compromised_maintainer_system_control,malicious_firmware_modification,Compromised maintainer system can modify firmware or bitstream-like released artifacts,review
compromised_maintainer_system_control,dangerous_dont_care_propagation,Compromised maintainer system can introduce or preserve dangerous don't-care behavior,keep
compromised_maintainer_system_control,asset_propagation_to_observable_nodes,Compromised maintainer system can cause security assets to propagate to observable RTL nodes,keep
attacker_controlled_version_control_system,illegal_access_or_use_of_design_ip,Attacker-controlled version-control system can expose or allow access to design/IP files stored in the repository,keep
attacker_controlled_version_control_system,design_ip_extraction,Attacker-controlled version-control system can enable extraction of design IP from repository contents,keep
attacker_controlled_version_control_system,unauthorized_design_copying,Attacker-controlled version-control system can copy or expose design artifacts stored in the repository,keep
attacker_controlled_version_control_system,ic_functionality_or_feature_modification,Attacker-controlled version-control system can modify design files to change IC functionality or features,keep
attacker_controlled_version_control_system,malicious_hardware_component_insertion,Attacker-controlled version-control system can inject malicious hardware logic into source or design artifacts,keep
attacker_controlled_version_control_system,trojan_based_information_leakage,Attacker-controlled version-control system can introduce logic that leaks sensitive information,keep
attacker_controlled_version_control_system,additional_functionality_in_implementation,Attacker-controlled version-control system can add unintended functionality through modified source/design files,keep
attacker_controlled_version_control_system,extra_task_without_functional_tamper,Attacker-controlled version-control system can add malicious tasks while preserving normal functionality,keep
attacker_controlled_version_control_system,rare_event_trigger,Attacker-controlled version-control system can introduce rare-event trigger logic into design files,keep
attacker_controlled_version_control_system,unprotected_confidential_data_path,Attacker-controlled version-control system can modify design files to leave confidential data paths unprotected,keep
attacker_controlled_version_control_system,extra_behavior_beyond_specification,Attacker-controlled version-control system can introduce behavior beyond the intended design specification,keep
attacker_controlled_version_control_system,redundant_logic_payload,Attacker-controlled version-control system can add redundant or hidden payload logic,keep
attacker_controlled_version_control_system,hard_to_excite_trigger_signal,Attacker-controlled version-control system can introduce hard-to-excite trigger signals,keep
attacker_controlled_version_control_system,untestable_or_suspicious_logic,Attacker-controlled version-control system can introduce suspicious or difficult-to-test logic,keep
attacker_controlled_version_control_system,malicious_design_alteration_before_fabrication,Attacker-controlled version-control system can alter design artifacts before fabrication,keep
attacker_controlled_version_control_system,original_circuitry_modification,Attacker-controlled version-control system can modify the original circuit description,keep
attacker_controlled_version_control_system,add_remove_or_bypass_logic,Attacker-controlled version-control system can add remove or bypass logic in the design,keep
