node_id,parent_id,level,paper_label,normalized_name,our_use/ Asw,Asw Definition,candidate_M,mechanism_definition
AV-308,AV-300,3,Prevent Display of File Differences,prevent_display_of_file_differences,A_sw_subtype,"A source-hiding attack in which the attacker prevents reviewers or tools from correctly displaying file differences, making malicious changes harder to detect.",attacker_controlled_hidden_source_change,The attacker can introduce a source-code change while hiding or disguising it from reviewers or tools.
AV-309,AV-300,3,Hide in Generated/Compiled/Minified Code,hide_in_generated_compiled_minified_code,A_sw_subtype,"A source-hiding attack in which the attacker places malicious logic inside generated, compiled, or minified code that is difficult for reviewers to inspect manually.",attacker_controlled_hidden_source_change,The attacker can introduce a source-code change while hiding or disguising it from reviewers or tools.
AV-302,AV-300,3,Contribute as Maintainer,contribute_as_maintainer,A_sw_subtype,A source-compromise attack in which the attacker contributes malicious code using maintainer-level access or by acting as a trusted project contributor.,maintainer_level_source_control,The attacker can modify the legitimate project source code with trusted contributor or maintainer privileges.
AV-601,AV-302,4,Bribe or Blackmail Legitimate User,bribe_or_blackmail_legitimate_user,A_sw_subtype,A social-coercion attack in which the attacker pressures or rewards a legitimate user to perform actions that help compromise the software supply chain.,abused_legitimate_user_privileges,The attacker can use a legitimate user's access or authority to perform supply-chain actions.
AV-602,AV-302,4,Take-over Legitimate Account,take_over_legitimate_account,A_sw_subtype,An account-compromise attack in which the attacker gains control of a legitimate user's account and uses its permissions to affect the software supply chain.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-603,AV-602,5,Reuse of Compromised Credentials,reuse_of_compromised_credentials,A_sw_subtype,An account-compromise attack in which the attacker uses previously stolen or compromised credentials to access a legitimate user account.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-604,AV-602,5,Bruteforce,bruteforce,A_sw_subtype,An account-compromise attack in which the attacker tries many password or credential guesses until access to a legitimate account is obtained.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-605,AV-602,5,Reuse of Leaked API Tokens,reuse_of_leaked_api_tokens,A_sw_subtype,An account-compromise attack in which the attacker uses exposed or leaked API tokens to access a legitimate account or service.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-606,AV-602,5,Social Engineering to Obtain Credentials,social_engineering_to_obtain_credentials,A_sw_subtype,An account-compromise attack in which the attacker manipulates a legitimate user into revealing credentials.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-607,AV-602,5,Reuse of Existing Session,reuse_of_existing_session,A_sw_subtype,An account-compromise attack in which the attacker reuses an active or stolen session to access a legitimate account without re-authentication.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-608,AV-602,5,Resurrect Expired Domain Associated With Legitimate Account,resurrect_expired_domain_associated_with_legitimate_account,A_sw_subtype,An account-compromise attack in which the attacker takes control of an expired domain associated with a legitimate account to recover or access that account.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-800,AV-302,4,Become a Maintainer,become_a_maintainer,A_sw_subtype,A privilege-gaining attack in which the attacker becomes a trusted maintainer of a legitimate project and uses that role to affect the software supply chain.,maintainer_level_source_control,The attacker can modify the legitimate project source code with trusted contributor or maintainer privileges.
AV-700,AV-302,4,Compromise Maintainer System,compromise_maintainer_system,A_sw_subtype,A system-compromise attack in which the attacker compromises a maintainer's machine or environment and uses it to affect the software supply chain.,compromised_maintainer_system_control,"The attacker can use a compromised maintainer system to modify, build, sign, or distribute software artifacts."
AV-701,AV-700,5,Exploit Weak Configuration,exploit_weak_configuration,A_sw_subtype,A maintainer-system compromise attack in which the attacker exploits insecure configuration settings on a maintainer system.,compromised_maintainer_system_control,"The attacker can use a compromised maintainer system to modify, build, sign, or distribute software artifacts."
AV-702,AV-700,5,Exploit Vulnerabilities,exploit_vulnerabilities,A_sw_subtype,A maintainer-system compromise attack in which the attacker exploits software vulnerabilities on a maintainer system.,compromised_maintainer_system_control,"The attacker can use a compromised maintainer system to modify, build, sign, or distribute software artifacts."
AV-703,AV-700,5,Infect through Malicious Component,infect_through_malicious_component,A_sw_subtype,A maintainer-system compromise attack in which the attacker infects a maintainer system through a malicious software component.,compromised_maintainer_system_control,"The attacker can use a compromised maintainer system to modify, build, sign, or distribute software artifacts."
AV-303,AV-300,3,Tamper with Version Control System,tamper_with_version_control_system,A_sw_subtype,"A source-compromise attack in which the attacker tampers with the version control system used by a legitimate project to affect its source code, history, or repository state.",attacker_controlled_version_control_system,The attacker can manipulate the version control system or repository state used by the legitimate project.
AV-600,AV-303,4,Compromise User (Project Maintainer/Administrator),compromise_user_project_maintainer_administrator,A_sw_subtype,A user-compromise attack in which the attacker compromises a legitimate project maintainer or administrator and uses that user's authority to affect the project.,compromised_project_user_privileges,"The attacker can use a legitimate project user's privileges to modify source, build, or release artifacts."
AV-700,AV-303,4,Compromise Version Control System,compromise_version_control_system,A_sw_subtype,A system-compromise attack in which the attacker compromises the version control system that stores or manages the legitimate project's source code.,attacker_controlled_version_control_system,The attacker can manipulate the version control system or repository state used by the legitimate project.
AV-401,AV-400,3,Run Malicious Build,run_malicious_build,A_sw_subtype,A build-compromise attack in which the attacker runs a malicious build process for a legitimate package.,attacker_controlled_build_execution,The attacker can execute or trigger a build process that produces a malicious software artifact.
AV-402,AV-400,3,Tamper Build Job as Maintainer,tamper_build_job_as_maintainer,A_sw_subtype,A build-compromise attack in which the attacker uses maintainer-level access to modify the build job of a legitimate package.,maintainer_level_build_job_control,"The attacker can modify build jobs, build scripts, or build configuration using trusted maintainer privileges."
AV-601,AV-402,4,Bribe or Blackmail Legitimate User,bribe_or_blackmail_legitimate_user,A_sw_subtype,A social-coercion attack in which the attacker pressures or rewards a legitimate user to perform actions that help compromise the build process.,abused_legitimate_user_privileges,The attacker can use a legitimate user's access or authority to perform supply-chain actions.
AV-602,AV-402,4,Take-over Legitimate Account,take_over_legitimate_account,A_sw_subtype,An account-compromise attack in which the attacker takes over a legitimate account and uses its permissions to tamper with the build process.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-800,AV-402,4,Become a Maintainer,become_a_maintainer,A_sw_subtype,A privilege-gaining attack in which the attacker becomes a trusted maintainer and uses that role to tamper with the build process.,maintainer_level_build_job_control,"The attacker can modify build jobs, build scripts, or build configuration using trusted maintainer privileges."
AV-700,AV-402,4,Compromise Maintainer System,compromise_maintainer_system,A_sw_subtype,A system-compromise attack in which the attacker compromises a maintainer's system and uses it to tamper with the build process.,compromised_maintainer_system_control,"The attacker can use a compromised maintainer system to modify, build, sign, or distribute software artifacts."
AV-403,AV-400,3,Tamper with Exposed Build System,tamper_with_exposed_build_system,A_sw_subtype,A build-system compromise attack in which the attacker tampers with an exposed build system used to build a legitimate package.,attacker_controlled_build_system,The attacker can manipulate the build infrastructure used to produce software artifacts.
AV-600,AV-403,4,Compromise User (Project Maintainer/Administrator),compromise_user_project_maintainer_administrator,A_sw_subtype,A user-compromise attack in which the attacker compromises a legitimate maintainer or administrator and uses that user's authority to affect the exposed build system.,compromised_project_user_privileges,"The attacker can use a legitimate project user's privileges to modify source, build, or release artifacts."
AV-601,AV-600,5,Bribe or Blackmail Legitimate User,bribe_or_blackmail_legitimate_user,A_sw_subtype,A social-coercion attack in which the attacker pressures or rewards a legitimate user to help compromise the exposed build system.,abused_legitimate_user_privileges,The attacker can use a legitimate user's access or authority to perform supply-chain actions.
AV-602,AV-600,5,Take-over Legitimate Account,take_over_legitimate_account,A_sw_subtype,An account-compromise attack in which the attacker takes over a legitimate account and uses its permissions to affect the exposed build system.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-700,AV-403,4,Compromise Build System,compromise_build_system,A_sw_subtype,A build-system compromise attack in which the attacker compromises the infrastructure used to build a legitimate package.,attacker_controlled_build_system,The attacker can manipulate the build infrastructure used to produce software artifacts.
AV-501,AV-500,3,Dangling Reference,dangling_reference,A_sw_subtype,"A distribution-stage attack in which the attacker abuses an abandoned, expired, or unresolved reference so that users or tools retrieve an attacker-controlled artifact.",attacker_controlled_distribution_reference,The attacker can redirect or control a software reference that downstream users or tools rely on.
AV-502,AV-500,3,Mask Legitimate Package,mask_legitimate_package,A_sw_subtype,"A distribution-stage attack in which the attacker makes a malicious package appear to be, replace, or hide behind a legitimate package.",attacker_controlled_released_artifact,The attacker can deliver or publish a malicious artifact as a package/version consumed by downstream users.
AV-506,AV-500,3,MITM Attack,mitm_attack,A_sw_subtype,A distribution-path attack in which the attacker intercepts or alters communication between the user/tool and the package source.,attacker_controlled_distribution_channel,The attacker can manipulate the channel through which software artifacts are retrieved.
AV-507,AV-506,4,DNS Cache Poisoning,dns_cache_poisoning,A_sw_subtype,A distribution-path attack in which the attacker poisons DNS cache entries so that users or tools are redirected to an attacker-controlled package source.,attacker_controlled_distribution_channel,The attacker can manipulate the channel through which software artifacts are retrieved.
AV-508,AV-506,4,Tamper Legitimate URL,tamper_legitimate_url,A_sw_subtype,A distribution-path attack in which the attacker modifies or abuses a legitimate package URL so that users or tools retrieve a malicious artifact.,attacker_controlled_distribution_reference,The attacker can redirect or control a software reference that downstream users or tools rely on.
AV-509,AV-500,3,Abuse Dependency Resolution Mechanism,abuse_dependency_resolution_mechanism,A_sw_subtype,A dependency-resolution attack in which the attacker abuses how package managers select or resolve dependencies so that an attacker-controlled artifact is chosen.,attacker_controlled_dependency_resolution,The attacker can influence dependency resolution so that downstream tools select an attacker-controlled artifact.
AV-503,AV-500,3,Prevent Update to Non-Vulnerable Version,prevent_update_to_non_vulnerable_version,A_sw_subtype,"A distribution-stage attack in which the attacker prevents users or tools from updating to a safe version, keeping them dependent on a vulnerable or malicious version.",attacker_controlled_update_path,"The attacker can influence whether downstream users or tools receive safe, vulnerable, or malicious software versions."
AV-504,AV-500,3,Distribute as Package Maintainer,distribute_as_package_maintainer,A_sw_subtype,A distribution-stage attack in which the attacker uses package-maintainer privileges to publish or distribute a malicious version of a legitimate package.,maintainer_level_release_control,The attacker can publish or release software artifacts using trusted maintainer-level privileges.
AV-601,AV-504,4,Bribe or Blackmail Legitimate User,bribe_or_blackmail_legitimate_user,A_sw_subtype,A social-coercion attack in which the attacker pressures or rewards a legitimate user to help publish or distribute a malicious package version.,abused_legitimate_user_privileges,The attacker can use a legitimate user's access or authority to perform supply-chain actions.
AV-602,AV-504,4,Take-over Legitimate Account,take_over_legitimate_account,A_sw_subtype,An account-compromise attack in which the attacker takes over a legitimate account and uses its permissions to publish or distribute a malicious package version.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-800,AV-504,4,Become a Maintainer,become_a_maintainer,A_sw_subtype,A privilege-gaining attack in which the attacker becomes a trusted maintainer and uses that role to publish or distribute a malicious package version.,maintainer_level_release_control,The attacker can publish or release software artifacts using trusted maintainer-level privileges.
AV-700,AV-504,4,Compromise Maintainer System,compromise_maintainer_system,A_sw_subtype,A system-compromise attack in which the attacker compromises a maintainer's system and uses it to publish or distribute a malicious package version.,compromised_maintainer_system_control,"The attacker can use a compromised maintainer system to modify, build, sign, or distribute software artifacts."
AV-505,AV-500,3,Inject into Hosting System,inject_into_hosting_system,A_sw_subtype,A hosting-infrastructure attack in which the attacker injects or replaces artifacts in the system that hosts legitimate packages.,attacker_controlled_hosting_system,The attacker can manipulate the package-hosting infrastructure used to store or serve software artifacts.
AV-600,AV-505,4,Compromise User (Project Maintainer/Administrator),compromise_user_project_maintainer_administrator,A_sw_subtype,A user-compromise attack in which the attacker compromises a legitimate project maintainer or administrator and uses that user's authority to affect the hosting system.,compromised_project_user_privileges,"The attacker can use a legitimate project user's privileges to modify source, build, or release artifacts."
AV-601,AV-600,5,Bribe or Blackmail Legitimate User,bribe_or_blackmail_legitimate_user,A_sw_subtype,A social-coercion attack in which the attacker pressures or rewards a legitimate user to help compromise the package-hosting system.,abused_legitimate_user_privileges,The attacker can use a legitimate user's access or authority to perform supply-chain actions.
AV-602,AV-600,5,Take-over Legitimate Account,take_over_legitimate_account,A_sw_subtype,An account-compromise attack in which the attacker takes over a legitimate account and uses its permissions to affect the package-hosting system.,compromised_legitimate_account_control,"The attacker can act through a legitimate account and use its permissions to modify, build, or distribute software artifacts."
AV-700,AV-505,4,Compromise Hosting System,compromise_hosting_system,A_sw_subtype,A hosting-system compromise attack in which the attacker compromises the infrastructure that stores or serves legitimate packages.,attacker_controlled_hosting_system,The attacker can manipulate the package-hosting infrastructure used to store or serve software artifacts.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
#,unique candidate_M,,,,,,,
1,attacker_controlled_malicious_software_artifact,,,,,,,
2,attacker_controlled_lookalike_software_artifact,,,,,,,
3,attacker_controlled_legitimate_software_artifact,,,,,,,
4,attacker_controlled_source_code,,,,,,,
5,attacker_controlled_build_artifact,,,,,,,
6,attacker_controlled_released_artifact,,,,,,,
7,attacker_controlled_hidden_source_change,,,,,,,
8,maintainer_level_source_control,,,,,,,
9,abused_legitimate_user_privileges,,,,,,,
10,compromised_legitimate_account_control,,,,,,,
11,compromised_maintainer_system_control,,,,,,,
12,attacker_controlled_version_control_system,,,,,,,
13,compromised_project_user_privileges,,,,,,,
14,attacker_controlled_build_execution,,,,,,,
15,maintainer_level_build_job_control,,,,,,,
16,attacker_controlled_build_system,,,,,,,
17,attacker_controlled_distribution_reference,,,,,,,
18,attacker_controlled_distribution_channel,,,,,,,
19,attacker_controlled_dependency_resolution,,,,,,,
20,attacker_controlled_update_path,,,,,,,
21,maintainer_level_release_control,,,,,,,
22,attacker_controlled_hosting_system,,,,,,,
