Asw Synthesis (Pass 1 and Pass 2),,,,
A_sw_raw (exact attack name from the software supply-chain papers),A_sw_canonical (Pass 1),A_sw unique enteries after synthesis (Synthesis Pass 1),A_sw unique enteries after synthesis (Synthesis Pass 2),
mask_level_trojan_insertion,mask_level_trojan_insertion,physical_design_induced_vulnerability,,
hardware_trojan_taxonomy,taxonomy_label_review,side_channel_leakage,4. information_leakage_or_asset_exposure,
functional_trojan,functional_trojan,fault_injection_attack,   - information_leakage_or_exfiltration,
parametric_trojan,parametric_trojan,invasive_physical_attack,   - asset_leakage,
layout_changing_trojan,layout_changing_trojan,hls_information_or_key_leakage,   - test_or_debug_asset_leakage,
layout_preserving_trojan,layout_preserving_trojan,hls_control_flow_or_fsm_vulnerability,,
externally_activated_trojan,externally_activated_trojan,hls_fault_injection_susceptibility,5. side_channel_fault_or_physical_attack,
internally_activated_trojan,internally_activated_trojan,hls_side_channel_leakage,   - physical_design_induced_vulnerability,
always_on_trojan,always_on_trojan,hls_side_channel_or_transformation_vulnerability,   - side_channel_leakage,
condition_based_trojan,condition_based_trojan,hls_reset_or_initialization_vulnerability,   - fault_injection_attack,
logic_triggered_trojan,logic_triggered_trojan,hls_interface_or_control_signal_vulnerability,   - invasive_physical_attack,
sensor_triggered_trojan,sensor_triggered_trojan,hls_interface_or_call_method_vulnerability,,
function_modifying_trojan,functional_trojan,hls_scheduling_vulnerability,6. hls_induced_security_vulnerability,
specification_modifying_trojan,functional_trojan,hls_resource_sharing_vulnerability,   - hls_information_or_key_leakage,
information_transmitting_trojan,information_leakage_trojan,hls_pipeline_imbalance_vulnerability,   - hls_control_flow_or_fsm_vulnerability,
rtl_level_trojan,rtl_level_trojan,asset_leakage,   - hls_fault_injection_susceptibility,
rtl_hardware_trojan,rtl_level_trojan,test_or_debug_asset_leakage,   - hls_side_channel_leakage,
gate_level_hardware_trojan,gate_level_trojan,ic_replacement_or_substitution,   - hls_side_channel_or_transformation_vulnerability,
,,,   - hls_reset_or_initialization_vulnerability,
PHYSICAL DESIGN / SIDE CHANNEL / FAULT INJECTION,,,   - hls_interface_or_control_signal_vulnerability,
physical_design_induced_vulnerability,physical_design_induced_vulnerability,,   - hls_interface_or_call_method_vulnerability,
layout_level_side_channel_leakage,side_channel_leakage,,   - hls_scheduling_vulnerability,
physical_layout_side_channel_leakage,side_channel_leakage,,   - hls_resource_sharing_vulnerability,
power_side_channel_vulnerability,side_channel_leakage,,   - hls_pipeline_imbalance_vulnerability,
em_side_channel_vulnerability,side_channel_leakage,,,
laser_fault_injection,fault_injection_attack,,7. ic_replacement_or_substitution,
timing_fault_injection,fault_injection_attack,,   - trojaned_ic_substitution,
em_fault_injection,fault_injection_attack,,   - ic_replacement_or_substitution,
physical_layout_fault_injection,fault_injection_attack,,,
micro_probing_attack,invasive_physical_attack,,8. access_abuse_or_system_disruption,
,,,   - privilege_escalation,
HLS-INDUCED VULNERABILITIES,,,   - system_disablement,
hls_induced_information_leakage,hls_information_or_key_leakage,,,
hls_induced_key_leakage,hls_information_or_key_leakage,,,
combinational_output_leakage,hls_information_or_key_leakage,,,
passthrough_output_vulnerability,hls_information_or_key_leakage,,,
latching_intermediate_values,hls_information_or_key_leakage,,,
,,,,
hls_induced_control_flow_violation,hls_control_flow_or_fsm_vulnerability,,,
insecure_control_logic_extraction,hls_control_flow_or_fsm_vulnerability,,,
fsm_fault_injection_vulnerability,hls_control_flow_or_fsm_vulnerability,,,
,,,,
hls_induced_fault_injection_susceptibility,hls_fault_injection_susceptibility,,,
,,,,
hls_induced_side_channel_leakage,hls_side_channel_leakage,,,
function_flattening_vulnerability,hls_side_channel_or_transformation_vulnerability,,,
,,,,
no_reset_register_vulnerability,hls_reset_or_initialization_vulnerability,,,
no_preset_register_vulnerability,hls_reset_or_initialization_vulnerability,,,
uncleared_register_vulnerability,hls_reset_or_initialization_vulnerability,,,
uncleared_io_register_vulnerability,hls_reset_or_initialization_vulnerability,,,
,,,,
lack_of_top_level_control_signals,hls_interface_or_control_signal_vulnerability,,,
insecure_call_method_vulnerability,hls_interface_or_call_method_vulnerability,,,
,,,,
non_secure_scheduling,hls_scheduling_vulnerability,,,
non_secure_resource_sharing,hls_resource_sharing_vulnerability,,,
unbalanced_pipeline_vulnerability,hls_pipeline_imbalance_vulnerability,,,
,,,,
,,,,
,,,,
ASSET LEAKAGE / DEBUG / DFT / DFD,,,,
rtl_asset_leakage,asset_leakage,,,
gate_level_asset_leakage,asset_leakage,,,
dft_asset_leakage,test_or_debug_asset_leakage,,,
dfd_asset_leakage,test_or_debug_asset_leakage,,,
,,,,
IC REPLACEMENT / SUBSTITUTION,,,,
ic_chip_replacement,ic_replacement_or_substitution,,,
,,,,
Msw Correction and Then Synthesis (Pass 1 ),,,,
,,,,
A_sw unique enteries after synthesis (Synthesis Pass 1),Msw (Pass 1),Msw (Pass 2 ) Unique Entries,,
malicious_package_creation,consumed_software_behavior_control,1. consumed_software_behavior_control,,
package_confusion,consumed_software_behavior_control,2. source_or_repository_modification,,
syntactic_or_visual_name_confusion,consumed_software_behavior_control,3. trusted_project_or_maintainer_access,,
built_in_or_standard_package_impersonation,consumed_software_behavior_control,4. developer_or_maintainer_environment_control,,
brand_or_trust_impersonation,consumed_software_behavior_control,5. build_or_toolchain_execution_control,,
dependency_confusion,consumed_software_behavior_control,6. distribution_or_update_path_control,,
typosquatting_or_combosquatting,consumed_software_behavior_control,7. signing_or_verification_control,,
typosquatting,consumed_software_behavior_control,8. vulnerability_or_configuration_based_control,,
source_or_package_tampering,source_or_repository_modification,,,
malicious_contribution_or_merge_request,source_or_repository_modification,,,
code_review_or_diff_evasion,source_or_repository_modification,,,
repository_or_version_control_compromise,source_or_repository_modification,,,
maintainer_role_acquisition,trusted_project_access,,,
account_takeover,trusted_project_access,,,
credential_compromise,trusted_project_access,,,
social_engineering,trusted_project_access,,,
session_hijacking,trusted_project_access,,,
domain_takeover,trusted_project_access,,,
developer_environment_compromise,maintainer_environment_control,,,
privileged_project_account_compromise,trusted_project_access,,,
maintainer_role_abuse,trusted_project_access,,,
package_ownership_transfer,trusted_project_access,,,
signing_identity_compromise,trust_or_signature_control,,,
build_time_code_injection,build_process_control,,,
malicious_build_execution,build_process_control,,,
build_job_tampering,build_process_control,,,
build_system_compromise,build_process_control,,,
toolchain_compromise,development_tool_control,,,
malicious_package_distribution,distribution_or_update_control,,,
package_reference_hijacking,distribution_or_update_control,,,
download_or_network_redirection,distribution_or_update_control,,,
version_downgrade_attack,distribution_or_update_control,,,
hosting_or_repository_compromise,distribution_or_update_control,,,
repository_or_mirror_poisoning,distribution_or_update_control,,,
version_reuse_attack,distribution_or_update_control,,,
package_tampering,distribution_or_update_control,,,
signature_system_compromise,trust_or_signature_control,,,
vulnerability_exploitation,vulnerability_exploitation_capability,,,
configuration_weakness_exploitation,configuration_control,,,
malicious_component_compromise,consumed_software_behavior_control,,,
memory_safety_vulnerability_exploitation,vulnerability_exploitation_capability,,,
unmaintained_or_legacy_component_exploitation,vulnerability_exploitation_capability,,,
